news,subject
Government plans to increase fuel prices drastically next month.,real
Scientists discover evidence of life on Mars in 2025!,real
Local school wins international robotics competition.,real
Health experts warn about a new pandemic in 2026.,real
AI to replace all human jobs by 2030!,real
NASA reveals stunning images from new space mission.,real
Country A signs historic peace treaty with Country B.,real
Economy sees record growth due to technology advances.,real
New educational reforms aim to provide free laptops to students.,real
Revolutionary cure for cancer found by researchers.,real
Tech company launches innovative device for blind people.,real
Famous actor donates half his wealth to charity.,real
Medical experts develop vaccine for common flu.,real
Country hosts largest environmental summit in history.,real
New study shows benefits of regular exercise on mental health.,real
Celebrity caught in drug scandal denies all allegations.,fake
Politician claims Earth is flat in controversial speech.,fake
New smartphone emits dangerous radiation levels!,fake
Scientists build time machine to travel to the past.,fake
Alien spaceship spotted in a major city!,fake
Fake pharmaceutical company scams millions with bogus pills.,fake
Website leaks fake news about celebrity marriage.,fake
"Unicorn found in the mountains of Tibet, locals claim.",fake
Fake news spreads about country's leader quitting presidency.,fake
New currency discovered that makes everyone a billionaire overnight.,fake
Conspiracy theory claims moon landing was fake.,fake
Popular food chain caught using plastic in their meals.,fake
Video of ghost haunting famous mansion goes viral.,fake
Tech CEO announces he is actually an alien in disguise.,fake
Report falsely claims major tech company shutting down operations.,fake
